age,wage,log_wage
25,13.747396,2.5999348
26,13.785872,2.6037166
27,14.034555,2.6187894
28,14.279573,2.6353724
29,14.552366,2.6529961
30,14.878537,2.6732669
31,15.146126,2.6904445
32,15.505415,2.7093976
33,15.750903,2.7224443
34,15.744031,2.7241707
35,16.094326,2.7415855
36,16.231121,2.7508862
37,16.483459,2.7634375
38,16.619604,2.7705669
39,16.792501,2.7801716
40,16.900274,2.7831903
41,16.866798,2.7825851
42,17.058641,2.7920358
43,17.146259,2.7968779
44,17.200726,2.7999835
45,17.248144,2.8019562
46,17.268831,2.8028805
47,17.138414,2.7944601
48,17.123922,2.7956102
49,17.168373,2.7946758
50,17.191851,2.7964623
51,17.136295,2.7929106
52,17.076855,2.7913465
53,17.048889,2.7885671
54,17.017448,2.7899404
55,17.111012,2.7940197
56,16.980066,2.7859018
57,16.998785,2.7867157
58,16.992062,2.7859633
59,16.963545,2.7828271
60,16.551437,2.7633603
61,16.520037,2.7557545
62,16.811909,2.773458
63,16.992266,2.7837758
64,16.806206,2.7723138
65,17.72427,2.8174591
66,17.456474,2.800071
67,17.503756,2.8017082
68,17.614683,2.8083448
69,17.119991,2.7773015
70,17.677546,2.8019769
71,17.095119,2.7892277
72,16.492104,2.7565167
73,15.716252,2.6993437
74,16.472513,2.7756245
75,14.894638,2.6611011
