age,MH_P2P,MH_P2G,MH_G2P,MH_G2G
25,.72708672,.27291328,.27032781,.72967219
26,.72094727,.27905273,.29228672,.70771331
27,.6800229,.31997707,.28050894,.71949106
28,.70601755,.29398245,.30391929,.69608068
29,.70732862,.29267138,.27199435,.72800565
30,.72718054,.27281943,.26461077,.73538923
31,.67663348,.32336652,.29032496,.70967507
32,.72278839,.27721161,.29161051,.70838946
33,.67311251,.32688749,.25849777,.74150223
34,.71545726,.28454271,.27220669,.72779328
35,.70040357,.29959646,.25542191,.74457812
36,.73328918,.26671082,.26623967,.7337603
37,.72103459,.27896538,.26088098,.73911899
38,.70218468,.29781529,.26122776,.73877227
39,.71469879,.28530118,.24642265,.75357735
40,.71745086,.28254911,.23632477,.76367521
41,.7112602,.28873983,.22914635,.77085364
42,.68453693,.3154631,.23199089,.76800913
43,.68535072,.31464925,.21708393,.78291607
44,.69615614,.30384386,.22866823,.77133179
45,.70035261,.29964739,.243352,.756648
46,.70772499,.29227504,.22711065,.77288938
47,.64397055,.35602942,.24217792,.7578221
48,.69615793,.3038421,.24313617,.75686383
49,.68555766,.31444234,.21608815,.78391188
50,.703058,.296942,.22838539,.77161461
51,.71910483,.2808952,.20937155,.79062843
52,.69044936,.30955061,.2357766,.7642234
53,.70261317,.29738685,.21728294,.78271705
54,.723836,.276164,.22153337,.77846664
55,.72136146,.27863854,.21680784,.78319216
56,.69791877,.30208123,.21798855,.78201145
57,.71194464,.28805533,.19553727,.80446273
58,.66911668,.33088332,.18706842,.8129316
59,.70522588,.29477412,.19881669,.80118328
60,.67555475,.32444522,.1769955,.82300448
61,.67382878,.32617125,.17292292,.82707709
62,.66093946,.33906054,.16188949,.83811051
63,.67412227,.32587773,.16377452,.83622551
64,.63309085,.36690918,.14833149,.85166848
65,.60743564,.39256439,.15377216,.84622782
66,.64189422,.35810575,.15060283,.84939718
67,.60797954,.39202043,.14883457,.85116541
68,.56572276,.43427724,.14622062,.85377938
69,.61874443,.38125557,.17431489,.82568508
70,.59435707,.40564293,.15062076,.84937924
71,.61415887,.38584113,.16387618,.83612382
72,.56605411,.43394589,.17746216,.82253784
73,.5733192,.4266808,.17610084,.82389915
74,.55754656,.44245344,.15426952,.84573048
75,.59475267,.40524733,.17919068,.8208093
