age,mean_log_wage_MH0_age,mean_log_wage_MH1_age,_merge
25,2.190181,2.2051134,matched (3)
26,2.2263713,2.2467046,matched (3)
27,2.2394714,2.2548242,matched (3)
28,2.2732196,2.2841752,matched (3)
29,2.3063598,2.3222148,matched (3)
30,2.307709,2.362757,matched (3)
31,2.3394971,2.4052291,matched (3)
32,2.3761322,2.42594,matched (3)
33,2.392853,2.4425812,matched (3)
34,2.4094501,2.4343882,matched (3)
35,2.4163959,2.4660001,matched (3)
36,2.452498,2.4702885,matched (3)
37,2.4627059,2.4938605,matched (3)
38,2.4614077,2.4959121,matched (3)
39,2.4659834,2.4914873,matched (3)
40,2.4672816,2.5033407,matched (3)
41,2.458411,2.4824131,matched (3)
42,2.4712207,2.4882476,matched (3)
43,2.4661658,2.5047708,matched (3)
44,2.4643936,2.484807,matched (3)
45,2.4611044,2.5069487,matched (3)
46,2.4557278,2.5013165,matched (3)
47,2.4513419,2.487016,matched (3)
48,2.4603841,2.4779677,matched (3)
49,2.4483693,2.4756801,matched (3)
50,2.4586227,2.4741492,matched (3)
51,2.4271724,2.4914501,matched (3)
52,2.4449687,2.4860482,matched (3)
53,2.4187682,2.4783688,matched (3)
54,2.4305849,2.4661851,matched (3)
55,2.428232,2.4591408,matched (3)
56,2.4084082,2.4613492,matched (3)
57,2.4063966,2.4635613,matched (3)
58,2.3814251,2.4599807,matched (3)
59,2.3548224,2.4359758,matched (3)
60,2.3754303,2.3995774,matched (3)
61,2.3562362,2.3918207,matched (3)
62,2.3528078,2.3839996,matched (3)
63,2.334399,2.3860741,matched (3)
64,2.3729,2.3878546,matched (3)
65,2.3975627,2.3540385,matched (3)
66,2.3479846,2.3971171,matched (3)
67,2.3161778,2.3310714,matched (3)
68,2.5521231,2.2994015,matched (3)
69,2.2042785,2.25348,matched (3)
70,2.268667,2.2837212,matched (3)
71,2.2764206,2.219662,matched (3)
72,2.2053716,2.2343295,matched (3)
73,2.2415648,2.1467032,matched (3)
74,2.0747187,2.1590202,matched (3)
75,2.139183,2.2270627,matched (3)
76,2.1874306,2.2758677,matched (3)
