age,MH_type_0_P2P,MH_type_0_P2G,MH_type_0_G2P,MH_type_0_G2G,MH_type_1_P2P,MH_type_1_P2G,MH_type_1_G2P,MH_type_1_G2G
25,.78729254,.21270743,.5370087,.4629913,.079870626,.92012936,.085423395,.91457659
26,.75522894,.24477108,.54927367,.45072636,.12602195,.87397808,.10050782,.8994922
27,.72799283,.27200717,.53929508,.46070492,.17270753,.8272925,.11231296,.88768703
28,.75489688,.24510311,.58508891,.41491109,.11814714,.88185287,.11488918,.8851108
29,.76170826,.23829174,.50829059,.49170944,.092408396,.90759158,.11085149,.88914853
30,.77951592,.22048408,.53856122,.46143878,.12082394,.87917608,.11176912,.88823086
31,.72438544,.27561459,.55019635,.44980365,.11217184,.88782817,.12253421,.87746578
32,.77404314,.22595687,.56161875,.43838125,.27926126,.72073871,.12097063,.87902939
33,.74831152,.25168848,.55826008,.44173989,.11276083,.88723916,.10409187,.89590812
34,.76903147,.23096856,.54672682,.45327318,.19745827,.80254173,.12272171,.87727827
35,.75936216,.24063787,.51127118,.48872885,.25653836,.74346161,.12009769,.8799023
36,.78944844,.21055157,.5627439,.43725607,.22514121,.77485877,.10207999,.89792001
37,.77724731,.22275272,.54281741,.45718262,.10392134,.89607865,.12280517,.87719482
38,.77050442,.22949561,.53009725,.46990275,.15994184,.84005815,.11263881,.88736117
39,.77688277,.22311723,.52056444,.47943553,.17410812,.82589185,.10263447,.89736551
40,.77176511,.22823489,.49212608,.50787389,.20734581,.79265416,.096875891,.90312409
41,.76005727,.23994273,.50258875,.49741128,.2115559,.7884441,.098710641,.90128934
42,.75553566,.24446434,.52273792,.47726205,.085788622,.91421139,.094925955,.90507406
43,.73750079,.26249921,.53567863,.46432135,.13039853,.86960149,.082083471,.91791654
44,.74422777,.25577223,.50908029,.49091968,.16241685,.83758312,.1022945,.8977055
45,.76164883,.23835117,.54194087,.4580591,.19356012,.80643988,.10785151,.89214849
46,.7664063,.2335937,.48506561,.51493442,.26109728,.73890275,.11824073,.88175929
47,.71855694,.28144306,.53808296,.46191701,.15737453,.84262544,.11447371,.8855263
48,.76656735,.23343265,.53400338,.46599665,.1833407,.81665927,.1037003,.89629972
49,.7608,.23919997,.4948504,.5051496,.168083,.83191699,.1057881,.89421189
50,.76312691,.23687309,.575302,.424698,.217126,.78287399,.085365042,.91463494
51,.78528482,.2147152,.53085691,.46914309,.19093581,.80906421,.091644771,.90835524
52,.7566393,.24336071,.55440599,.44559401,.21315587,.78684413,.11171758,.88828242
53,.78758234,.21241768,.53224003,.46776,.20124297,.79875702,.08502344,.91497654
54,.79347599,.20652401,.53518742,.46481258,.2250659,.77493411,.095676631,.9043234
55,.78812551,.21187447,.4976857,.50231427,.17009421,.82990581,.10874986,.89125013
56,.77165169,.22834831,.52708262,.47291741,.18809325,.81190675,.095366538,.90463346
57,.78461033,.2153897,.54373676,.45626327,.3126297,.6873703,.075623058,.92437696
58,.74462515,.25537482,.54488844,.45511156,.1283541,.87164593,.081463031,.91853696
59,.77189636,.22810364,.5820536,.4179464,.18641381,.81358618,.089961067,.91003895
60,.74110097,.25889903,.50982839,.49017164,.20900206,.79099792,.092130058,.90786994
61,.76770556,.23229443,.47237813,.52762187,.18176596,.81823403,.092885405,.90711462
62,.76402873,.23597127,.53735429,.46264571,.17297696,.82702303,.075870581,.92412943
63,.77669954,.22330047,.59335327,.40664673,.10861182,.89138818,.080894746,.91910523
64,.72507066,.27492934,.54254621,.45745379,.19298078,.80701923,.080228612,.91977137
65,.75627846,.24372153,.52739024,.47260973,.11559657,.88440341,.074244857,.92575514
66,.75515336,.24484663,.51443541,.48556459,.21055153,.78944844,.08410418,.91589582
67,.75732368,.24267633,.45275775,.54724222,.12487371,.8751263,.090934791,.90906519
68,.69929796,.30070204,.53672099,.46327898,.14318137,.85681862,.082169034,.91783094
69,.75607187,.24392812,.54889137,.45110863,.22286531,.77713472,.10221975,.89778024
70,.72217947,.2778205,.52905458,.47094542,.15174881,.84825122,.09405373,.90594625
71,.72675979,.27324018,.54360127,.45639876,.24395001,.75604999,.099168174,.90083182
72,.70000982,.29999018,.58474219,.41525784,.19257256,.80742741,.10560907,.89439094
73,.69915044,.30084959,.62492901,.37507096,.20213093,.79786909,.11220948,.8877905
74,.68697107,.3130289,.63978457,.36021543,.19976394,.80023605,.07761094,.92238903
75,.83761007,.16238992,.33558524,.66441476,0,1,.069939718,.93006027
