age,var_log_lab_inc,var_log_cum_lab_inc,_merge
25,.41309142,.43437445,matched (3)
26,.52459341,.65719122,matched (3)
27,.4266941,.79759723,matched (3)
28,.45938957,.82698739,matched (3)
29,.56880367,1.0355349,matched (3)
30,.50822341,1.0251046,matched (3)
31,.60157949,1.0547451,matched (3)
32,.57919061,1.1509488,matched (3)
33,.53210902,1.1444027,matched (3)
34,.56307691,1.197031,matched (3)
35,.53992164,1.2359273,matched (3)
36,.61525697,1.3201759,matched (3)
37,.56709278,1.3055363,matched (3)
38,.61039191,1.2360843,matched (3)
39,.62515146,1.4014617,matched (3)
40,.5817318,1.2966242,matched (3)
41,.56296366,1.3102618,matched (3)
42,.60149407,1.2887816,matched (3)
43,.59516251,1.2565644,matched (3)
44,.64725685,1.3284553,matched (3)
45,.63126606,1.3090365,matched (3)
46,.57824498,1.3181777,matched (3)
47,.58724087,1.3041149,matched (3)
48,.6150763,1.3441572,matched (3)
49,.59922206,1.3188498,matched (3)
50,.52354825,1.3247333,matched (3)
51,.58877867,1.2900376,matched (3)
52,.56748033,1.242083,matched (3)
53,.56719494,1.199553,matched (3)
54,.59102505,1.3729022,matched (3)
55,.70128143,1.3770697,matched (3)
56,.63055032,1.3584218,matched (3)
57,.6450302,1.326466,matched (3)
58,.64014375,1.2919639,matched (3)
59,.74809569,1.4753481,matched (3)
60,.77695912,1.4730006,matched (3)
61,.80231029,1.6225823,matched (3)
62,.92670822,1.6897668,matched (3)
63,1.0319659,1.7694008,matched (3)
64,1.1035689,1.8269613,matched (3)
65,1.2210526,1.8501545,matched (3)
66,1.3850622,1.9581412,matched (3)
67,1.7539225,2.0846884,matched (3)
68,1.2953227,2.1732848,matched (3)
69,1.687778,2.3623147,matched (3)
70,1.5545989,2.3908889,matched (3)
71,1.4037322,2.3597431,matched (3)
72,1.412402,2.4165881,matched (3)
73,1.6167289,2.5045664,matched (3)
74,1.4955391,2.3628292,matched (3)
75,1.5649378,2.4002771,matched (3)
