age,mean_badMH
25,.48675495
26,.49867022
27,.48467058
28,.46036586
29,.47680995
30,.46022728
31,.45704949
32,.46540326
33,.47361755
34,.45054945
35,.4621717
36,.44117647
37,.45009276
38,.46004927
39,.45166782
40,.44121447
41,.43253711
42,.42710918
43,.4356527
44,.42450568
45,.42970589
46,.43002915
47,.4260492
48,.41967404
49,.42404151
50,.41593438
51,.42041421
52,.41897941
53,.40941596
54,.40676418
55,.42360476
56,.40805495
57,.40782472
58,.39204547
59,.38245615
60,.37721601
61,.34695911
62,.32925257
63,.31962323
64,.30407912
65,.28235295
66,.27416849
67,.27461299
68,.26734564
69,.25520155
70,.27807668
71,.27184466
72,.28519195
73,.28616107
74,.28093645
75,.27681026
76,.28671327
