age,mean_log_hours_MH0_age,mean_log_hours_MH1_age,_merge
25,-1.1202918,-1.0775516,matched (3)
26,-1.1256757,-1.0615413,matched (3)
27,-1.1224775,-1.0708498,matched (3)
28,-1.1204175,-1.0894324,matched (3)
29,-1.1462162,-1.0873266,matched (3)
30,-1.1375636,-1.0990437,matched (3)
31,-1.123805,-1.0923237,matched (3)
32,-1.1386292,-1.1031458,matched (3)
33,-1.1598947,-1.1274924,matched (3)
34,-1.1428852,-1.1353199,matched (3)
35,-1.1808938,-1.1417623,matched (3)
36,-1.1644742,-1.1325666,matched (3)
37,-1.1648083,-1.1247823,matched (3)
38,-1.1567118,-1.1263326,matched (3)
39,-1.1471248,-1.1400664,matched (3)
40,-1.1476834,-1.1145927,matched (3)
41,-1.1492858,-1.123221,matched (3)
42,-1.1619509,-1.1320274,matched (3)
43,-1.1538022,-1.1324582,matched (3)
44,-1.1577046,-1.1187146,matched (3)
45,-1.1285222,-1.1105905,matched (3)
46,-1.1254475,-1.1239115,matched (3)
47,-1.1274505,-1.1217146,matched (3)
48,-1.1296664,-1.1117235,matched (3)
49,-1.1165106,-1.119809,matched (3)
50,-1.1250979,-1.1141287,matched (3)
51,-1.1225933,-1.1129112,matched (3)
52,-1.1310174,-1.1074579,matched (3)
53,-1.1316812,-1.1197894,matched (3)
54,-1.1406157,-1.114794,matched (3)
55,-1.1634613,-1.1123986,matched (3)
56,-1.1616123,-1.1312226,matched (3)
57,-1.1564493,-1.1563575,matched (3)
58,-1.1647294,-1.1618955,matched (3)
59,-1.2092063,-1.1703136,matched (3)
60,-1.1966681,-1.1917019,matched (3)
61,-1.1855671,-1.2121928,matched (3)
62,-1.2022539,-1.2194182,matched (3)
63,-1.1925709,-1.2362689,matched (3)
64,-1.2700408,-1.2550255,matched (3)
65,-1.2806188,-1.3246076,matched (3)
66,-1.3788191,-1.369113,matched (3)
67,-1.31429,-1.3960158,matched (3)
68,-1.5047284,-1.4468161,matched (3)
69,-1.5061326,-1.4635955,matched (3)
70,-1.414287,-1.5928442,matched (3)
71,-1.2179257,-1.5554563,matched (3)
72,-1.7616661,-1.5134608,matched (3)
73,-1.6633459,-1.4184226,matched (3)
74,-1.6872368,-1.5076045,matched (3)
75,-1.9984863,-1.5165292,matched (3)
76,-1.8354049,-1.5804083,matched (3)
