age,wage,sd_wage,_merge
25,12.788272,3.097734,matched (3)
26,12.610588,2.6651442,matched (3)
27,12.898156,2.9258509,matched (3)
28,13.316118,3.7152214,matched (3)
29,13.514033,3.9374292,matched (3)
30,13.628813,3.6416924,matched (3)
31,13.843256,3.7443967,matched (3)
32,14.142343,3.5978112,matched (3)
33,14.983465,4.6613851,matched (3)
34,14.896927,4.2389965,matched (3)
35,15.181016,5.0679688,matched (3)
36,15.375143,4.6811256,matched (3)
37,15.791529,4.9616838,matched (3)
38,15.586329,4.9565139,matched (3)
39,15.801438,5.0888057,matched (3)
40,15.79416,5.274478,matched (3)
41,15.876284,5.3942351,matched (3)
42,15.857564,5.1322846,matched (3)
43,15.978231,5.5799847,matched (3)
44,16.237694,5.7964149,matched (3)
45,16.402275,5.6046228,matched (3)
46,16.02309,5.6581101,matched (3)
47,15.911724,5.5909562,matched (3)
48,15.941797,5.7147717,matched (3)
49,16.00156,6.1439791,matched (3)
50,15.975548,5.5643139,matched (3)
51,15.791002,5.3655829,matched (3)
52,15.518867,5.5250621,matched (3)
53,15.324563,4.9316196,matched (3)
54,15.534142,5.2680054,matched (3)
55,15.554985,5.085742,matched (3)
56,15.565253,5.4478993,matched (3)
57,15.761542,5.6092281,matched (3)
58,15.105939,5.5534811,matched (3)
59,15.015096,4.9126768,matched (3)
60,14.88856,4.9853883,matched (3)
61,14.992867,5.4892106,matched (3)
62,14.795485,4.7193952,matched (3)
63,14.831674,4.9701285,matched (3)
64,15.135767,4.8375773,matched (3)
65,16.155306,5.7719345,matched (3)
66,16.616066,8.1232576,matched (3)
67,15.720444,6.7668071,matched (3)
68,22.63295,10.784094,matched (3)
69,12.712487,3.2374699,matched (3)
70,16.22187,11.681538,matched (3)
71,14.331565,5.3815532,matched (3)
72,10.641304,,matched (3)
73,14.413897,3.8851686,matched (3)
